
v15kuで追加された地形生成物。

地上世界の陸地のいたるところに設置されたアイテムとして、簡単な素材アイテムが落ちている。
- ブロック状態のため、放置しておいても勝手にデスポーンすることはない。

* がれきの一覧（v15ku） [#zb9e0b27]

以下において、「チャンク当たりの生成確率」は1チャンクの中にまとまりが生成される確率。
「生成時の量」はまとまりが生成された際に設置される設置されたアイテムの個数。

#tablesort{{
|アイテム|チャンク当たりの生成確率|生成時の量|生成条件|h
|木の棒|1/16|2〜6|地上世界|
|木の棒|1/2|2〜6|森林系バイオーム|
|骨|1/32|2〜6|地上世界|
|糸|1/32|2〜6|地上世界|
|火打石|1/32|2〜6|地上世界|
|鉄の原石|1/64|2〜6|地上世界|
|鉄の原石|1/32|8〜24|山岳系バイオーム|
|銅の原石|1/64|2〜6|地上世界|
|銅の原石|1/32|8〜24|山岳系バイオーム|
|紅天石|1/64|2〜6|地上世界|
|妖精の鱗粉|1/64|2〜6|地上世界|
|妖精の鱗粉|1/32|8〜24|妖精系バイオーム|
}}
