''&color(red){この表はデバッグアイテム「Dump Fairy Motifs」で出力しており、手動で編集することはできません。};''
''&color(red){対応バージョン：v21ku};''
#tablesort{{
|妖精|レア|召喚時効果|◇10効果|条件|h
|空気精アイリャ|0|移動速度 +0%|移動速度 +20%|　|
|光精リグチャ|3|移動速度 +2%&br;移動速度 +2%&br;移動速度 +2%|移動速度 +8%&br;移動速度 +8%&br;移動速度 +8%|[&#128161;15↑]&br;[&#128161;10↑]&br;[&#128161;5↑]|
|反物質精アンティマッテーリャ|12|採掘速度: +12.0%|採掘速度: +10.0%|　|
|真空崩壊精ヴァツーメデーツャ|13|攻撃力上昇 II&br;全体攻撃力: +16%&br;採掘速度: +3.9%&br;衰弱&br;不運 III|攻撃力上昇 II&br;全体攻撃力: +12%&br;採掘速度: +3.0%&br;衰弱&br;不運 III|　&br;　&br;　&br;　&br;　|
|星精スターリャ|10|全体攻撃力: +30%&br;魔力: ◇+100% (星精スターリャ系統)|全体攻撃力: +30%&br;魔力: ◇+100% (星精スターリャ系統)|[地上世界,晴天,空が見える]&br;　|
|月精モーニャ|10|魔法攻撃力: +60%&br;持続回復: +0.100/秒|魔法攻撃力: +60%&br;持続回復: +0.100/秒|[地上世界,夜間,晴天,空が見える]&br;[地上世界,夜間,晴天,空が見える]|
|太陽精スーニャ|10|近接攻撃力: +60%&br;持続回復: +0.100/秒|近接攻撃力: +60%&br;持続回復: +0.100/秒|[地上世界,昼間,晴天,空が見える]&br;[地上世界,昼間,晴天,空が見える]|
|火精フィーリャ|2|全体攻撃力: +9%&br;火属性防御力: +30%&br;発火&br;魔力: ◇+8% (火精フィーリャ系統)|全体攻撃力: +45%&br;火属性防御力: +150%&br;発火&br;魔力: ◇+40% (火精フィーリャ系統)|[炎上]&br;[炎上]&br;[&#10084;3↑]&br;　|
|水精ワテーリャ|1|全体攻撃力: +2%&br;全体防御力: +2%&br;持続回復: +0.010/秒&br;魔力: ◇+4% (水精ワテーリャ系統)|全体攻撃力: +15%&br;全体防御力: +15%&br;持続回復: +0.100/秒&br;魔力: ◇+40% (水精ワテーリャ系統)|[水中]&br;[水中]&br;[水中]&br;　|
|酒精エタノーリャ|6|全体攻撃力: +14%&br;魔力: ◇+60% (酒精エタノーリャ系統)|全体攻撃力: +24%&br;魔力: ◇+100% (酒精エタノーリャ系統)|[アルコール料理]&br;　|
|溶岩精ラーヴャ|4|近接攻撃力: +10%&br;魔法攻撃力: +10%&br;魔力: ◇+3% (火精フィーリャ系統)|近接攻撃力: +24%&br;魔法攻撃力: +24%&br;魔力: ◇+8% (火精フィーリャ系統)|[炎上]&br;[炎上]&br;　|
|土精ディルチャ|1|最大体力 +0.32&br;採掘速度: +0.4%|最大体力 +3.20&br;採掘速度: +4.0%|[地上世界]&br;[地上世界]|
|砂利精グラヴェーリャ|3|全体防御力: +2%&br;近接防御力: +4%&br;採掘速度: +2.1%&br;採掘速度: +1.2%|全体防御力: +6%&br;近接防御力: +12%&br;採掘速度: +7.0%&br;採掘速度: +4.0%|　&br;　&br;　&br;[砂利料理]|
|菌糸精ミツェリウミャ|7|最大体力 +0.84&br;持続回復: +0.021/秒&br;魔法攻撃力: +6%&br;採掘速度: +2.1%&br;魔力: ◇+28% (茸精ムシュローミャ系統)|最大体力 +1.20&br;持続回復: +0.030/秒&br;魔法攻撃力: +9%&br;採掘速度: +3.0%&br;魔力: ◇+40% (茸精ムシュローミャ系統)|　&br;[&#128161;12↓]&br;[&#128161;12↓]&br;[&#128161;12↓]&br;　|
|幽匿塊精スツルキャ|8|持続回復: +0.032/秒&br;全体攻撃力: +10%&br;魔法攻撃力: +10%&br;採掘速度: +3.2%|持続回復: +0.040/秒&br;全体攻撃力: +12%&br;魔法攻撃力: +12%&br;採掘速度: +4.0%|[&#128161;5↓]&br;[&#128161;5↓]&br;[屋内]&br;[屋内]|
